,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
162,Harry Potter and the Half-Blood Prince,"[""BBC CHILDREN'S BOOKS"", 'J. K. Rowling']",BBC Children's Books,2009-05-28,1405904917,9781405904919,20,5,1,,,
163,Harry Potter Y El Misterio Del Principe (Harry Potter and the Half-Blood Prince).,['J. K. Rowling'],,2006,8498389283,9788498389289,602,,,,,
164,Harry Potter y el Misterio Del Príncipe / Harry Potter and the Half-Blood Prince,['J. K. Rowling'],Salamandra Infantil Y Juvenil,2020-08-18,3939308064,9783939308065,608,5,1,,,
166,Harry Potter and the Deathly Hallows,['J. K. Rowling'],Arthur A. Levine Books,2007,0545044251,9780545044257,759,4.5,247,,,
167,Harry Potter,['British'],Createspace Independent Publishing Platform,2016-01-18,1523480890,9781523480890,260,4.5,3,,,
168,A Study Guide for J.K. Rowling's Harry Potter and the Deathly Hallows,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-03-13,1410320243,9781410320247,15,,,US,3.99,USD
169,Harry Potter and the Deathly Hallows by J. K. Rowling (Book Analysis),['Bright Summaries'],BrightSummaries.com,2019-03-28,2808015534,9782808015530,58,,,,,
170,Harry Potter and the Deathly Hallows - Gryffindor Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618311,9781526618313,640,,,,,
171,Harry Potter and the Deathly Hallows - Slytherin Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618370,9781526618375,640,,,,,
172,Harry Potter and the Deathly Hallows - Hufflepuff Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618346,9781526618344,640,,,,,
173,Harry Potter and the Deathly Hallows - Ravenclaw Edition,['J. K. Rowling'],Bloomsbury Children's Books,2021-06-10,1526618338,9781526618337,640,,,,,
174,Harry Potter and the Deathly Hallows,['J. K. Rowling'],,2007-08,0747593760,9780747593768,,,,,,
175,"Broken Wand (Or, How J.K. Rowling Killed Harry Potter)",['Timothy A. Wolf'],Strategic Book Publishing,2011-02,1612040209,9781612040202,182,2,4,,,
176,The Alchemist,['Paulo Coelho'],HarperCollins,2015-02-24,0062416219,9780062416216,208,4.5,18,US,11.99,USD
177,The Alchemist LP,['Paulo Coelho'],Harper Collins,2005-11-01,0060834838,9780060834838,208,3,4448,,,
178,The Alchemist: A Graphic Novel,['Paulo Coelho'],Harper Collins,2010-11-23,0062024329,9780062024329,208,3.5,9,,,
